setNumber,name,year,numParts,imageUrl,inventoryId
4645-1,Harbor,2011,552,https://cdn.rebrickable.com/media/sets/4645-1.jpg,2248
4648578-1,Series 7 - Sealed Box,2012,0,https://cdn.rebrickable.com/media/sets/4648578-1.jpg,3309
4648586-1,Series 6 - Sealed Box,2012,0,https://cdn.rebrickable.com/media/sets/4648586-1.jpg,13447
4648593-1,Series 8 - Sealed Box,2012,0,https://cdn.rebrickable.com/media/sets/4648593-1.jpg,12344
4648933-1,Accessory Pack,2011,6,https://cdn.rebrickable.com/media/sets/4648933-1.jpg,7022
4648939-1,Golden Die,2011,8,https://cdn.rebrickable.com/media/sets/4648939-1.jpg,11910
4651-1,Police Motorcycle,2003,12,https://cdn.rebrickable.com/media/sets/4651-1.jpg,8160
4652-1,Tow Truck,2003,26,https://cdn.rebrickable.com/media/sets/4652-1.jpg,3411
4653-1,Dump Truck,2003,28,https://cdn.rebrickable.com/media/sets/4653-1.jpg,308
4654-1,Tanker Truck,2003,45,https://cdn.rebrickable.com/media/sets/4654-1.jpg,3171
4655-1,Quick Fix Station,2003,103,https://cdn.rebrickable.com/media/sets/4655-1.jpg,2225
4657-1,Fire Squad HQ,2003,149,https://cdn.rebrickable.com/media/sets/4657-1.jpg,8674
4658-1,Farm Animals,2005,5,https://cdn.rebrickable.com/media/sets/4658-1.jpg,26241
4659018-1,Kits 2-6 Subscription,2011,0,https://cdn.rebrickable.com/media/sets/4659018-1.jpg,15238
4659-1,Garbage Truck,2005,13,https://cdn.rebrickable.com/media/sets/4659-1.jpg,14754
4659597-1,Friends - Bracelets,2012,0,https://cdn.rebrickable.com/media/sets/4659597-1.jpg,2737
4659602-1,Display Stand,2012,17,https://cdn.rebrickable.com/media/sets/4659602-1.jpg,10752
4659604-1,Friends Notebook,2012,0,https://cdn.rebrickable.com/media/sets/4659604-1.jpg,94609
4659607-1,Booster Pack,2012,6,https://cdn.rebrickable.com/media/sets/4659607-1.jpg,7026
4659612-1,Spinner Ring,2012,1,https://cdn.rebrickable.com/media/sets/4659612-1.jpg,769
4659758-1,Build a Bullseye 3 in 1 Target Gift Card Promotional,2011,52,https://cdn.rebrickable.com/media/sets/4659758-1.jpg,3006
4660865-1,Target Lego Gift Card 2011 3 in 1 Set,2011,51,https://cdn.rebrickable.com/media/sets/4660865-1.jpg,11470
4661-1,Construction Worker,2005,4,https://cdn.rebrickable.com/media/sets/4661-1.jpg,24955
4662-1,Post Office,2005,23,https://cdn.rebrickable.com/media/sets/4662-1.jpg,116023
4663-1,Zoo,2005,50,https://cdn.rebrickable.com/media/sets/4663-1.jpg,25561
4664-1,Fire Station,2005,59,https://cdn.rebrickable.com/media/sets/4664-1.jpg,107880
4665-1,Big Farm,2005,72,https://cdn.rebrickable.com/media/sets/4665-1.jpg,9964
4666-1,Speedy Police Car,2003,25,https://cdn.rebrickable.com/media/sets/4666-1.jpg,10530
4667-1,Loadin' Digger,2003,30,https://cdn.rebrickable.com/media/sets/4667-1.jpg,9239
4668-1,Outrigger Construction Crane,2003,67,https://cdn.rebrickable.com/media/sets/4668-1.jpg,223669
4669-1,Turbo-Charged Police Boat,2003,54,https://cdn.rebrickable.com/media/sets/4669-1.jpg,14628
4676-1,Police Key Chain,2004,19,https://cdn.rebrickable.com/media/sets/4676-1.jpg,92863
4677-1,Name Letter Pack,2004,67,https://cdn.rebrickable.com/media/sets/4677-1.jpg,15593
4679-1,Bricks and Creations Tub,2004,0,https://cdn.rebrickable.com/media/sets/4679-1.jpg,1947
4679-2,Bricks and Creations Tub - (TRU Exclusive),2005,0,https://cdn.rebrickable.com/media/sets/4679-2.jpg,4721
4679a-1,Bricks and Creations Tub (Bottom Tub and its contents only),2004,1000,https://cdn.rebrickable.com/media/sets/4679a-1.jpg,11069
4679a-2,Bricks and Creations Tub - (TRU Exclusive) (Bottom Tub and its contents only),2005,1000,https://cdn.rebrickable.com/media/sets/4679a-2.jpg,5579
4679b-1,Super Value 500 LEGO Elements (Bonus box and its contents only),2004,0,https://cdn.rebrickable.com/media/sets/4679b-1.jpg,45166
