partNumber,name,category,sourceCategory,material
40513pr0011,"Juniors Midifig, Dr. Octopus / Doc Ock",minifigures,Minifigs,Plastic
40514pr0001,"Juniors Midifig, Jack Stone, Dark Turquoise Jumpsuit, Red Arms and Hands",minifigures,Minifigs,Plastic
40514pr0002,"Juniors Midifig, Station Mechanic with Green Overalls, Cap with 'Octan' Logo",minifigures,Minifigs,Plastic
40514pr0003,"Juniors Midifig, Bank Robber with Dark Gray Legs, Red Shirt and Blue Cap",minifigures,Minifigs,Plastic
40514pr0004,"Juniors Midifig, Jack Stone, Police - Blue Legs, Black Jacket, Blue Cap with Star, Sunglasses",minifigures,Minifigs,Plastic
40514pr0005,"Juniors Midifig, Res-Q - Cap",minifigures,Minifigs,Plastic
40514pr0006,"Juniors Midifig, Crewman with Blue Overalls, Red Shirt",minifigures,Minifigs,Plastic
40514pr0006a,"Juniors Midifig, Crewman with Blue Overalls, Red Shirt, Unprinted Cap",minifigures,Minifigs,Plastic
40514pr0007,"Juniors Midifig, Crewman with Dark Turquoise Shirt and Pants, Tan Arms",minifigures,Minifigs,Plastic
40514pr0008,"Juniors Midifig, Jack Stone, Police - Blue Legs, Black Jacket, Black Cap with Star",minifigures,Minifigs,Plastic
40514pr0009,"Juniors Midifig, Construction Worker - Blue Shirt, Green Vest, Cap with 'Brick', Sunglasses and Moustache",minifigures,Minifigs,Plastic
40514pr0010,"Juniors Midifig, Construction Worker with Blue Shirt, Green Vest and Cap, Sunglasses and Moustache",minifigures,Minifigs,Plastic
40514pr0011,"Juniors Midifig, Truck Driver with Brown Beard and Mirror Sunglasses",minifigures,Minifigs,Plastic
40514pr0012,"Juniors Midifig, Tractor Driver With Blue Overalls, Red Shirt, Plain Blue Cap, Beard Stubble",minifigures,Minifigs,Plastic
40514pr0013,"Juniors Midifig, Police - Blue Legs, Black Jacket, Blue Cap, Sunglasses",minifigures,Minifigs,Plastic
40514pr0014,"Juniors Midifig, Police - Blue Legs, Black Jacket, Black Cap",minifigures,Minifigs,Plastic
40517,Duplo Toolo Remote Control Unit for RC Dozer (2949),bricks,"Duplo, Quatro and Primo",Plastic
40518,Duplo Toolo Car Base Unit for RC Dozer (2949),bricks,"Duplo, Quatro and Primo",Plastic
40522,Sticker Sheet for Set 75952-1,special,Stickers,Plastic
40527,"Door Frame 1 x 4 x 4, no Holes",bricks,Windows and Doors,Plastic
40553,Duplo Trophy Cup with Number 1 in Shield - Open Handles,bricks,"Duplo, Quatro and Primo",Plastic
40554,Duplo Umbrella with Stop Ring,bricks,"Duplo, Quatro and Primo",Plastic
40566,"Scala, Baby Dungarees with Rainbow Top",special,"Belville, Scala and Fabuland",Cloth
40567,"Scala, Blanket with Starburst Print",special,"Belville, Scala and Fabuland",Cloth
4057,Minifig Neckwear Cape with Tears and Wings,minifigures,Minifig Neckwear,Plastic
40581,"Large Figure Weapon Sword, Long Axle Hammer 1 x 10",special,Large Buildable Figures,Plastic
40582,"Large Figure Weapon, Long Axle Ice Pick",special,Large Buildable Figures,Plastic
40598,"Weapon Pack Discs, Grappler, Grenade Tips [Complete Set]",minifigures,"Minifig Shields, Weapons, & Tools",Plastic
40598a,Weapon Disc,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
40598b,Weapon Grappling Hook,minifigures,"Minifig Shields, Weapons, & Tools",Plastic
40598c,"Weapon Grenade, Blunt Tip",minifigures,"Minifig Shields, Weapons, & Tools",Plastic
40598d,"Weapon Grenade, Tapered Tip",minifigures,"Minifig Shields, Weapons, & Tools",Plastic
40606,"Scala, Animal, Dog (Domino) Dalmatian with Black Ears",special,"Belville, Scala and Fabuland",Plastic
40607,Rubber Band / Belt Holder 6 x 3 x 3,special,"String, Bands and Reels",Plastic
40613,"Scala, Pants with Purple/Light Blue Flowers",special,"Belville, Scala and Fabuland",Cloth
40620,Exhaust Pipe with Technic Pin,special,Transportation - Land,Plastic
40623pr0001,"Scala, Animal, Horse with White Diamond and Black Mane Print",special,"Belville, Scala and Fabuland",Plastic
40623pr0002,"Scala, Animal, Horse Indie with Pinto Markings Print",special,"Belville, Scala and Fabuland",Plastic
40629,Duplo Trailer Flatbed 4 x 6 with Hitch Ends and 4 Wheels (Lofty),bricks,"Duplo, Quatro and Primo",Plastic
40630,"Duplo Crane Base, Front, with Two Wheels and Lips (Lofty)",bricks,"Duplo, Quatro and Primo",Plastic
40637,Duplo Brick 2 x 2 Digger Bucket Arm Holder,bricks,"Duplo, Quatro and Primo",Plastic
40638,"Duplo Digger Bucket, Large",bricks,"Duplo, Quatro and Primo",Plastic
40639,Duplo Backhoe Tractor Cabin,bricks,"Duplo, Quatro and Primo",Plastic
40642,"Duplo Digger Bucket, Small with 4 Teeth",bricks,"Duplo, Quatro and Primo",Plastic
40643,Duplo Digger Bucket Arm,bricks,"Duplo, Quatro and Primo",Plastic
40644,"Duplo Digger Bucket Arm Holder, Pivot Joint",bricks,"Duplo, Quatro and Primo",Plastic
40647pr0001,Duplo Bulldozer Front with Eyes Looking Left Print (Muck),bricks,"Duplo, Quatro and Primo",Plastic
40647pr0002,Duplo Bulldozer Front with Eyes Looking Straight and Smile Print (Muck),bricks,"Duplo, Quatro and Primo",Plastic
40648,Duplo Bulldozer Bucket,bricks,"Duplo, Quatro and Primo",Plastic
40651,Duplo Bulldozer Base with Treads and Four Black Wheels with Red Print (Muck),bricks,"Duplo, Quatro and Primo",Plastic
40654,"Scala, Halter Top with Dark Pink Flower",special,"Belville, Scala and Fabuland",Cloth
40655,"Scala, Animal, Dog (Ditto) Puppy Dalmatian",special,"Belville, Scala and Fabuland",Plastic
40656,Sticker Sheet for Set 3123-1,special,Stickers,Plastic
40657,"Scala, Towel 5 x 14",special,"Belville, Scala and Fabuland",Cloth
4065pr0001,"Minifig Head Special Tiger with Pink Markings, Silver and Orange Eyes print",minifigures,Minifig Heads,Plastic
4065pr0002,"Minifig Head Special Tiger with Red Markings, Orange Eyes print",minifigures,Minifig Heads,Plastic
4065pr0003,"Minifig Head Special Lion/Tiger with Orange Eyes, Black/Light Bluish Grey Eyeshadow, Dark Red Flames print",minifigures,Minifig Heads,Plastic
4066,Duplo Brick 1 x 2 x 2,bricks,"Duplo, Quatro and Primo",Plastic
40661,Scala Figure Female (Emma),special,"Non-Buildable Figures (Duplo, Fabuland, etc)",Plastic
40666,Duplo Plate 2 x 4,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0001,Duplo Brick 1 x 2 x 2 with Silver Mirror and Gold Frame Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0002,Duplo Brick 1 x 2 x 2 with Oranges and Glass of Orange Juice with Straw Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0003,"Duplo Brick 1 x 2 x 2 with Scissors, Bandages and Tongue Depressors Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0004,"Duplo Brick 1 x 2 x 2 with Shield, Lion and Crown on Yellow and Blue Background Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0005,Duplo Brick 1 x 2 x 2 with Nailed Crossed Wooden Boards Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0006,"Duplo Brick 1 x 2 x 2, with 'CEMENT' and Trowel Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0007,"Duplo Brick 1 x 2 x 2, with Clock Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0008,"Duplo Brick 1 x 2 x 2 with Clock, Elephant and Carrots Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0009,"Duplo Brick 1 x 2 x 2, with 4 Red and 2 Green Starting Lights Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0010,"Duplo Brick 1 x 2 x 2, with Three Bees and Beehive Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0011,"Duplo Brick 1 x 2 x 2, with Lemonade Pitcher and Glasses Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0012,"Duplo Brick 1 x 2 x 2, with Electric Drill and Wrench Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0013,Duplo Brick 1 x 2 x 2 with Computer Monitor and Keyboard Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0014,Duplo Brick 1 x 2 x 2 with Scissors and Bandaids Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0015,Duplo Brick 1 x 2 x 2 with Star Badge and 'POLICE' Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0016,"Duplo Brick 1 x 2 x 2 with Cauliflower, Peas and Potatoes Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0017,Duplo Brick 1 x 2 x 2 with Star Badge and 'POLICE' Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0018,Duplo Brick 1 x 2 x 2 with Bills and Coins Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0019,Duplo Brick 1 x 2 x 2 with Two Clowns Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0020,Duplo Brick 1 x 2 x 2 with Comb and Brush Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0021,"Duplo Brick 1 x 2 x 2, with Gray Bucket with Pink Handle, Full of Water Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0022,Duplo Brick 1 x 2 x 2 with Three Loaves of Bread Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0023,"Duplo Brick 1 x 2 x 2 with Bottle and Glass with Straw, Full of Fizzy Red Liquid Print",bricks,"Duplo, Quatro and Primo",Plastic
4066pr0024,Duplo Brick 1 x 2 x 2 with Pink BBQ / Grill and Hot Dog Print,bricks,"Duplo, Quatro and Primo",Plastic
4066pr0025,"Duplo Brick 1 x 2 x 2 with Yellow Telephone, and Pink Buttons Print",bricks,"Duplo, Quatro and Primo",Plastic
