partNumber,name,category,sourceCategory,material
cardupn0001pr0170,"Trading Card, Harry Potter, Sticker - Thestral",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0171,"Trading Card, Harry Potter, Sticker - Fluffy (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0172,"Trading Card, Harry Potter, Sticker - Godric Gryffindor, Hermione Granger, Seamus Finnigan",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0173,"Trading Card, Harry Potter, Sticker - Nearly Headless Nick, George Weasley / Fred Weasley and Neville Longbottom",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0174,"Trading Card, Harry Potter, Sticker - Ginny Weasley, Harry Potter and Scabbers",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0175,"Trading Card, Harry Potter, Sticker - Ron Weasley and Crookshanks",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0176,"Trading Card, Harry Potter, Sticker - Ron Weasley (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0177,"Trading Card, Harry Potter, Sticker - Aragog (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0178,"Trading Card, Harry Potter, Sticker - Gryffindor Crest (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0179,"Trading Card, Harry Potter, Sticker - Remus Lupin",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0180,"Trading Card, Harry Potter, Sticker - Remus Lupin",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0181,"Trading Card, Harry Potter, Sticker - Ron Weasley, Hermione Granger, Harry Potter, Remus Lupin, Neville Longbottom and Professor Snape Boggart",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0182,"Trading Card, Harry Potter, Sticker - Roger Davies (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0183,"Trading Card, Harry Potter, Sticker - Madame Hooch",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0184,"Trading Card, Harry Potter, Sticker - Draco Malfoy",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0185,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0186,"Trading Card, Harry Potter, Sticker - Ravenclaw Quidditch Player (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0187,"Trading Card, Harry Potter, Sticker - Ravenclaw Quidditch Player (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0188,"Trading Card, Harry Potter, Sticker - George Weasley / Fred Weasley, Angelina Johnson, Gryffindor Quidditch Player, Harry Potter, Ron Weasley and Oliver Wood (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0189,"Trading Card, Harry Potter, Sticker - Cedric Diggory and Hufflepuff Quidditch Team (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0190,"Trading Card, Harry Potter, Sticker - Ravenclaw Quidditch Player (Shaped)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0191,"Trading Card, Harry Potter, Sticker - Harry Potter",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0192,"Trading Card, Harry Potter, Sticker - Gryffindor Quidditch Player",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0193,"Trading Card, Harry Potter, Sticker - Ravenclaw Quidditch Team (Foil)",technic,Gear Parts,Cardboard/Paper
cardupn0001pr0194,"Trading Card, Harry Potter, Sticker - Slytherin Quidditch Team (Foil)",technic,Gear Parts,Cardboard/Paper
